SalesOrderID,RevisionNumber,OrderDate,DueDate,ShipDate,Status,OnlineOrderFlag,SalesOrderNumber,PurchaseOrderNumber,AccountNumber,CustomerID,SalesPersonID,TerritoryID,BillToAddressID,ShipToAddressID,ShipMethodID,CreditCardID,CreditCardApprovalCode,CurrencyRateID,SubTotal,TaxAmt,Freight,TotalDue,rowguid,ModifiedDate
48999,10,2023-12-25 00:00:00,2024-01-06 00:00:00,2024-01-01 00:00:00,5,1,SO48999,,10-4030-015463,15463,,7,13287,13287,1,4956.0,230657Vi26005,,2181.5625,174.525,54.5391,2410.6266,2553494A-DE9C-4D2E-836A-65ACAC3F6942,2024-01-01
49000,10,2023-12-25 00:00:00,2024-01-06 00:00:00,2024-01-01 00:00:00,5,1,SO49000,,10-4030-012460,12460,,10,16512,16512,1,16633.0,731321Vi86106,6689.0,2049.0982,163.9279,51.2275,2264.2536,45C8E624-5E88-4E32-9F22-7E2BA9A99977,2024-01-01
49001,10,2023-12-25 00:00:00,2024-01-06 00:00:00,2024-01-01 00:00:00,5,1,SO49001,,10-4030-029380,29380,,7,24287,24287,1,16530.0,1131325Vi85621,,2071.4196,165.7136,51.7855,2288.9187,51C270F5-D119-46E8-A950-CAA174E6C3FF,2024-01-01
49002,10,2023-12-25 00:00:00,2024-01-06 00:00:00,2024-01-01 00:00:00,5,1,SO49002,,10-4030-023323,23323,,9,11818,11818,1,3304.0,232999Vi17366,6684.0,2181.5625,174.525,54.5391,2410.6266,00EB6C83-5DCA-46C5-A738-C69658571E3E,2024-01-01
49003,10,2023-12-25 00:00:00,2024-01-06 00:00:00,2024-01-01 00:00:00,5,1,SO49003,,10-4030-023325,23325,,9,29791,29791,1,,,6684.0,2443.35,195.468,61.0838,2699.9018,173CC310-AC48-4FA1-98B7-EDE6510B6845,2024-01-01
49004,10,2023-12-25 00:00:00,2024-01-06 00:00:00,2024-01-01 00:00:00,5,1,SO49004,,10-4030-023420,23420,,9,25909,25909,1,14817.0,133017Vi76753,6684.0,2443.35,195.468,61.0838,2699.9018,37A40BA7-7C98-404A-9118-5455DB46ACA5,2024-01-01
49005,10,2023-12-25 00:00:00,2024-01-06 00:00:00,2024-01-01 00:00:00,5,1,SO49005,,10-4030-026723,26723,,4,23276,23276,1,9398.0,634093Vi48433,,2049.0982,163.9279,51.2275,2264.2536,DDE89F52-35FC-4362-B7DA-D3578FBFF69C,2024-01-01
49006,10,2023-12-25 00:00:00,2024-01-06 00:00:00,2024-01-01 00:00:00,5,1,SO49006,,10-4030-013633,13633,,9,21750,21750,1,12832.0,634852Vi66358,6684.0,2049.0982,163.9279,51.2275,2264.2536,989810A1-73F5-4C56-9C7C-F170412AF9DF,2024-01-01
49007,10,2023-12-25 00:00:00,2024-01-06 00:00:00,2024-01-01 00:00:00,5,1,SO49007,,10-4030-013637,13637,,9,28489,28489,1,12992.0,1234854Vi67215,6684.0,2049.0982,163.9279,51.2275,2264.2536,BB44C979-816D-4EC3-895C-6CB51C612E4A,2024-01-01
49008,10,2023-12-25 00:00:00,2024-01-06 00:00:00,2024-01-01 00:00:00,5,1,SO49008,,10-4030-026660,26660,,9,14094,14094,1,4078.0,135951Vi21451,6684.0,782.99,62.6392,19.5748,865.204,4A9FDA11-78B0-493C-9ED3-65222B683161,2024-01-01
49009,10,2023-12-26 00:00:00,2024-01-07 00:00:00,2024-01-02 00:00:00,5,1,SO49009,,10-4030-020890,20890,,10,21742,21742,1,10533.0,831510Vi54271,6700.0,782.99,62.6392,19.5748,865.204,2AF4861E-5DB0-4158-A6CD-5BA32AB80FC3,2024-01-02
49010,10,2023-12-26 00:00:00,2024-01-07 00:00:00,2024-01-02 00:00:00,5,1,SO49010,,10-4030-023416,23416,,9,29686,29686,1,,,6695.0,2443.35,195.468,61.0838,2699.9018,8AA1711E-29C5-44C8-B1EF-C8E20F9945E2,2024-01-02
49011,10,2023-12-26 00:00:00,2024-01-07 00:00:00,2024-01-02 00:00:00,5,1,SO49011,,10-4030-026698,26698,,4,17970,17970,1,727.0,934083Vi3750,,2049.0982,163.9279,51.2275,2264.2536,1A1CFF31-0670-45C9-AA55-F525B809F1B9,2024-01-02
