SalesOrderID,SalesOrderDetailID,CarrierTrackingNumber,OrderQty,ProductID,SpecialOfferID,UnitPrice,UnitPriceDiscount,LineTotal,rowguid,ModifiedDate
43659,1,4911-403C-98,1,776,1,2024.994,0,2024.994,B207C96D-D9E6-402B-8470-2CC176C42283,2022-05-30
43659,2,4911-403C-98,3,777,1,2024.994,0,6074.982,7ABB600D-1E77-41BE-9FE5-B9142CFC08FA,2022-05-30
43659,3,4911-403C-98,1,778,1,2024.994,0,2024.994,475CF8C6-49F6-486E-B0AD-AFC6A50CDD2F,2022-05-30
43659,4,4911-403C-98,1,771,1,2039.994,0,2039.994,04C4DE91-5815-45D6-8670-F462719FBCE3,2022-05-30
43659,5,4911-403C-98,1,772,1,2039.994,0,2039.994,5A74C7D2-E641-438E-A7AC-37BF23280301,2022-05-30
43659,6,4911-403C-98,2,773,1,2039.994,0,4079.988,CE472532-A4C0-45BA-816E-EEFD3FD848B3,2022-05-30
43659,7,4911-403C-98,1,774,1,2039.994,0,2039.994,80667840-F962-4EE3-96E0-AECA108E0D4F,2022-05-30
43659,8,4911-403C-98,3,714,1,28.8404,0,86.5212,E9D54907-E7B7-4969-80D9-76BA69F8A836,2022-05-30
43659,9,4911-403C-98,1,716,1,28.8404,0,28.8404,AA542630-BDCD-4CE5-89A0-C1BF82747725,2022-05-30
43659,10,4911-403C-98,6,709,1,5.7,0,34.2,AC769034-3C2F-495C-A5A7-3B71CDB25D4E,2022-05-30
43659,11,4911-403C-98,2,712,1,5.1865,0,10.373,06A66921-6B9F-4199-A912-DDAFD383472B,2022-05-30
43659,12,4911-403C-98,4,711,1,20.1865,0,80.746,0E371EE3-253E-4BB0-B813-83CF4224F972,2022-05-30
43660,13,6431-4D57-83,1,762,1,419.4589,0,419.4589,419A1302-AC7A-4044-97B2-66D9D14CD02E,2022-05-30
43660,14,6431-4D57-83,1,758,1,874.794,0,874.794,5D0B2B03-1D4C-4C34-9696-C14C58E7301C,2022-05-30
43661,15,4E0A-4F89-AE,1,745,1,809.76,0,809.76,EDE1759E-6733-4C7B-A43F-DC6F48002D8A,2022-05-30
43661,16,4E0A-4F89-AE,1,743,1,714.7043,0,714.7043,FE10BF09-D477-485B-9541-27AE8053A6D4,2022-05-30
43661,17,4E0A-4F89-AE,2,747,1,714.7043,0,1429.4086,B136852E-24C9-4006-8048-B14AEFE6C337,2022-05-30
