SalesOrderID,SalesOrderDetailID,CarrierTrackingNumber,OrderQty,ProductID,SpecialOfferID,UnitPrice,UnitPriceDiscount,LineTotal,rowguid,ModifiedDate
63425,84127,,1,981,2,769.49,0,769.49,613DB048-9741-4943-AEF0-CE2812FEE570,2025-01-01
63425,84128,,1,878,1,21.98,0,21.98,2A0E50B5-4707-4ACA-AFF7-4532B87FA7D4,2025-01-01
63425,84129,,1,712,1,8.99,0,8.99,24D4FFEA-B382-456F-9C7F-3D84BDCF6FB3,2025-01-01
63425,84130,,1,881,1,53.99,0,53.99,AA1BBE92-94DB-4736-913B-F15C0A7EFDD4,2025-01-01
63426,84131,,1,781,1,2319.99,0,2319.99,A3196303-C3A5-4CFF-B098-8DBEB3C042C4,2025-01-01
63426,84132,,1,873,1,2.29,0,2.29,7B97177A-CA4C-4F68-BAFE-99EE522A94D7,2025-01-01
63426,84133,,1,877,1,7.95,0,7.95,47331068-AC96-4C39-94AD-97A91F9631DB,2025-01-01
63427,84134,,1,781,1,2319.99,0,2319.99,BFBFF6A8-2658-4FAD-AEFF-8056C54ACC31,2025-01-01
63427,84135,,1,930,1,35.0,0,35.0,5C2C82F0-BC14-48C4-B4E2-DC07258CC39B,2025-01-01
63428,84136,,1,784,1,2294.99,0,2294.99,FCA6175E-4C36-42AA-9191-D3D900409330,2025-01-01
63428,84137,,1,871,1,9.99,0,9.99,15B70546-BDE8-4FB9-81A1-71D0F72FE339,2025-01-01
63428,84138,,1,870,1,4.99,0,4.99,E9E577A0-8EE8-4656-83EC-A459D90FFAA9,2025-01-01
63428,84139,,1,711,1,34.99,0,34.99,AE2EB6C9-682B-489C-A1E3-5C270CC55FC1,2025-01-01
63429,84140,,1,872,1,8.99,0,8.99,C3E9E994-B160-4499-804E-9D1ED3F571CE,2025-01-01
63429,84141,,1,870,1,4.99,0,4.99,D1AA2B65-5171-45B4-B6D6-0465E3895827,2025-01-01
63430,84142,,1,708,1,34.99,0,34.99,8C7EB43F-3B51-4586-AF90-77BD1E151A47,2025-01-01
63431,84143,,1,708,1,34.99,0,34.99,8C82494D-8D71-4544-8B3C-7AC046B1F67D,2025-01-01
63431,84144,,1,859,1,24.49,0,24.49,B506487B-3E78-48C6-A92C-78225E792CBD,2025-01-01
63431,84145,,1,713,1,49.99,0,49.99,AB5EDF9F-1D0E-46F3-9005-E11A7C14325C,2025-01-01
63432,84146,,1,708,1,34.99,0,34.99,FE965384-6AB9-4883-A6C4-4B6AC3D4614E,2025-01-01
63432,84147,,1,713,1,49.99,0,49.99,DCD61FD6-1067-4FDE-82F5-FAA5A4A66B24,2025-01-01
63432,84148,,1,860,1,24.49,0,24.49,DB3AB931-A23A-4070-B16B-B632F048C2A2,2025-01-01
63433,84149,,1,929,1,29.99,0,29.99,5C484706-A009-40AA-BCC5-E3C0C4506084,2025-01-01
